Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
1F9426      18    No     001F85B5-001F85D1       1D
1F9446      18    No     001F85D2-001F85EE       1D
1F9466      18    No     001F85EF-001F860B       1D
1F9487      17    No     001F860C-001F8627       1C
1F94A6      18    No     001F8628-001F8644       1D
1F94C6      18    No     001F8645-001F8661       1D
1F94E6      18    No     001F8662-001F867E       1D
1F9506      18    No     001F867F-001F869B       1D
1F9526      18    No     001F869C-001F86B8       1D
1F9546      18    No     001F86B9-001F86D5       1D
1F9566      18    No     001F86D6-001F86F2       1D
1F9586      18    No     001F86F3-001F870F       1D
1F95A6      18    No     001F8710-001F872C       1D
1F95C6      18    No     001F872D-001F8749       1D
1F95E6      18    No     001F874A-001F8766       1D
1F9606      18    No     001F8767-001F8783       1D
1F9626      18    No     001F8784-001F87A0       1D
1F9646      18    No     001F87A1-001F87BD       1D
1F9666      18    No     001F87BE-001F87DA       1D
1F9686      18    No     001F87DB-001F87F7       1D
1F96A6      18    No     001F87F8-001F8814       1D
1F96C6      18    No     001F8815-001F8831       1D
1F96E6      18    No     001F8832-001F884E       1D
1F9706      18    No     001F884F-001F886B       1D
1F9726      18    No     001F886C-001F8888       1D
1F9746      18    No     001F8889-001F88A5       1D
1F9766      18    No     001F88A6-001F88C2       1D
1F9786      18    No     001F88C3-001F88DF       1D
1F97A6      18    No     001F88E0-001F88FC       1D
1F97C6      18    No     001F88FD-001F8919       1D
1F97E6      18    No     001F891A-001F8936       1D
1F9806      18    No     001F8937-001F8953       1D
1F9826      18    No     001F8954-001F8970       1D
1F9846      18    No     001F8971-001F898D       1D
1F9866      18    No     001F898E-001F89AA       1D
1F9886      18    No     001F89AB-001F89C7       1D
1F98A6      18    No     001F89C8-001F89E4       1D
1F98C6      18    No     001F89E5-001F8A01       1D
1F98EE       E    No     001F8A02-001F8A14       13
1F990E       E    No     001F8A15-001F8A27       13
1F992F       D    No     001F8A28-001F8A39       12
1F994E       E    No     001F8A3A-001F8A4C       13
1F996E       C    No     001F8A4D-001F8A5D       11
1F9986      18    No     001F8A5E-001F8A7A       1D
1F99A6      18    No     001F8A7B-001F8A97       1D
1F99C6      18    No     001F8A98-001F8AB4       1D
1F99E6      18    No     001F8AB5-001F8AD1       1D
1F9A16       6    No     001F8AD2-001F8ADC        B
1F9A28      14    No     001F8ADD-001F8AF5       19
1F9A48      14    No     001F8AF6-001F8B0E       19
1F9A68      14    No     001F8B0F-001F8B27       19
1F9A88      14    No     001F8B28-001F8B40       19
